bit,coefficient
970,0.34713110933862223
971,-0.09581432263737102
972,-1.1521596065318953
973,0.12258698640372095
974,0.219493505659091
975,0.48850214718803814
976,-0.19788991849055956
977,0.6315680871846557
978,-0.32266103233336885
979,0.6502028295650244
980,-0.43211527123470084
981,0.7886110054834489
982,0.017392944457076162
983,-0.32452281350490936
984,-0.3745085844817475
985,-0.2920699053005577
986,-0.3035816347969192
987,-0.4353519846515636
988,0.33481815941726206
989,-0.18987144967266492
990,-0.02230114999925135
991,-0.12931783001410227
992,-0.13747755349846258
993,-0.4228213697388046
994,-0.00630270266435231
995,-0.006410980487513002
996,1.268545026515228
997,-0.3708722881775063
998,0.16772900395758455
999,0.09582959311416753
1000,0.3098333161072598
1001,0.30475443050697576
1002,0.9386603870613954
1003,1.1695170940081903
1004,0.7220173167354883
1005,-0.22251226649970676
1006,0.08373787293777656
1007,-0.5029134171736265
1008,-0.01567303443041379
1009,0.24209598286760547
1010,-0.010262225184060319
1011,-0.23891074990044675
1012,-0.5809812125954921
1013,-0.48627247966268927
1014,-0.49196618630520195
1015,-0.4656149020747435
1016,-0.6576382377634418
1017,0.002663515358690957
1018,-0.4097677969277477
1019,-0.3984500550336143
1020,-0.01782272607069901
1021,-0.1853661505486253
1022,-0.7314006873672738
1023,-0.45806402346683067
1024,0.1344625029729848
1025,-0.4652555380192815
1026,-0.739638320838853
1027,-0.265985941745533
1028,-0.10102372720572678
1029,-0.07260450437730953
1030,-1.0244060921580482
1031,0.07530458417949079
1032,-0.3316456639817834
1033,0.10239776584972426
1034,-0.5004230779228901
1035,0.2551859230056136
1036,0.017107079909472737
1037,0.7540481851974011
1038,0.6251018384842223
1039,0.10414301370299417
1040,0.2569316858484224
1041,0.33080214451620876
1042,0.5476460052624365
1043,0.7603441214339827
1044,0.32583470412153037
1045,0.022041659071540785
1046,0.6315284872108246
1047,-0.1687090385769021
1048,-0.29795624939197773
1049,-0.16234737666955662
1050,0.821967996976777
1051,-0.3214571323661835
1052,-0.20100512971457565
1053,0.1712128924650113
1054,1.3144112009902613
1055,0.06472684930201175
1056,-0.22049874670266337
1057,0.37533747461318734
1058,-0.3697853232730227
1059,0.9595605018641249
1060,-0.49821597991468314
1061,0.2658939198252512
1062,-0.2388118056372056
1063,-0.13167635484293055
1064,-0.06892950724189388
1065,-0.365495697914095
1066,-0.27740719774761535
1067,-0.8252388107190322
1068,-0.9173014111231367
1069,-0.34987669359869333
1070,-0.19677870464556677
1071,0.19872424067048647
1072,0.479228470362189
1073,-0.32082953666098835
1074,-0.23289132486873027
1075,0.1538125819575628
1076,0.36781491622589585
1077,-0.3854325836929811
1078,0.6523194979334698
1079,-0.775552869390039
1080,0.1730620293857146
1081,-0.7346241468421827
1082,-0.0008924898689717242
1083,0.5164641216609989
1084,0.3760725233381556
1085,0.7008211592900737
1086,-0.10862941654211573
1087,-0.036579551471974336
1088,-0.044049030653463106
1089,-0.28954626214859125
1090,-0.6007140535303049
1091,0.2407356566330878
1092,0.6569945621555624
1093,-0.22168569191927223
1094,0.876375005970552
1095,-0.856437163764209
1096,-0.12140726385352216
1097,-0.1764965360690554
1098,-0.8758940475151898
1099,-0.6202243186062191
1100,-0.21213027092217537
1101,-0.47826380520525336
1102,-0.7023831710383116
1103,-0.2555303751221498
1104,0.12620522919672642
1105,-0.019003040999690232
1106,-0.8474092980448807
1107,0.307626775181974
1108,0.2823219638024484
1109,0.37645166049022877
1110,0.0054129201045581814
1111,-2.6395943773826236
1112,-0.706242803161978
1113,-0.5486627988648444
1114,0.47552629396163293
1115,-0.5259304670386429
1116,-0.9592749341814311
1117,-1.2840714536954136
1118,0.38718054005338554
1119,-0.609926022356532
1120,-0.31304717220653233
1121,0.1466988626269009
1122,0.7482165104163803
1123,0.46899083491729876
1124,0.019102038560138736
1125,0.01110168043941881
1126,-0.6077906518391991
1127,0.27730088141815845
1128,-0.42084447112115975
1129,-0.16327488047189043
1130,-0.09366430948452927
1131,0.2308670597753525
1132,-0.08836564130038366
1133,-0.099436227179483
1134,-0.2821988671427218
